,Release Date,Season,Episode,Episode Title,Name,Sentence,House,Sentences_Clean,Num_Words,Tokenized_Sentence,Tokenized_No_Stop,Stemmed_Sentence,Stemmed_Sentence_Non_Token,Sentiment,Sentiment_Compound_Score,Lannister_Word_Score,Stark_Word_Score,Targaryen_Word_Score,Mormont_Word_Score
6588,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,I should have been born a man. I'd rather face a thousand swords than be shut up inside with this flock of frightened hens.,House Lannister, i should have been born a man i would rather face a thousand swords than be shut up inside with this flock of frightened hens,25,"['i', 'should', 'have', 'been', 'born', 'a', 'man', 'i', 'would', 'rather', 'face', 'a', 'thousand', 'swords', 'than', 'be', 'shut', 'up', 'inside', 'with', 'this', 'flock', 'of', 'frightened', 'hens']","['born', 'man', 'would', 'rather', 'face', 'thousand', 'swords', 'shut', 'inside', 'flock', 'frightened', 'hens']","['born', 'man', 'would', 'rather', 'face', 'thousand', 'sword', 'shut', 'inside', 'flock', 'frightened', 'hen']", born man would rather face thousand sword shut inside flock frightened hen,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.4404}",-0.4404,0.0007624010808724184,0.0007697851153039832,0.0006593629539460337,0.0008454872120059184
6690,5/27/2012,Season 2,Episode 9,Blackwater,cersei lannister,Where is my son?,House Lannister, where is my son,4,"['where', 'is', 'my', 'son']",['son'],['son'], son,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0015055008685581934,0.0013757861635220125,0.002738892270237371,0.0012682308180088776
5174,5/6/2012,Season 2,Episode 6,The Old Gods and the New,bran stark,No! No! Theon! Please. Ser Rodrik!,House Stark, no no theon please ser rodrik,6,"['no', 'no', 'theon', 'please', 'ser', 'rodrik']","['theon', 'please', 'ser', 'rodrik']","['theon', 'please', 'ser', 'rodrik']", theon please ser rodrik,"{'neg': 0.0, 'neu': 0.566, 'pos': 0.434, 'compound': 0.3182}",0.3182,0.00037637521713954834,0.000884433962264151,0.0009129640900791235,0.0
3580,4/8/2012,Season 2,Episode 2,The Night Lands,arya stark,What do you want?,House Stark, what do you want,4,"['what', 'do', 'you', 'want']",['want'],['want'], want,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.0772}",0.0772,0.0020845396641574984,0.004520440251572327,0.005477784540474742,0.003804692454026633
4521,4/22/2012,Season 2,Episode 4,Garden of Bones,arya stark,Joffrey. Cersei. llyn Payne. The Hound.,House Stark, joffrey cersei llyn payne the hound,6,"['joffrey', 'cersei', 'llyn', 'payne', 'the', 'hound']","['joffrey', 'cersei', 'llyn', 'payne', 'hound']","['joffrey', 'cersei', 'llyn', 'payne', 'hound']", joffrey cersei llyn payne hound,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.00019654088050314466,0.0,0.0
3762,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,"I'm not questioning your honor, Lord Janos. I'm denying its existence.",House Lannister, i am not questioning your honor lord janos i am denying its existence,13,"['i', 'am', 'not', 'questioning', 'your', 'honor', 'lord', 'janos', 'i', 'am', 'denying', 'its', 'existence']","['questioning', 'honor', 'lord', 'janos', 'denying', 'existence']","['questioning', 'honor', 'lord', 'janos', 'denying', 'existence']", questioning honor lord janos denying existence,"{'neg': 0.38, 'neu': 0.3, 'pos': 0.32, 'compound': 0.1027}",0.1027,0.0009071607797722447,0.0010318396226415094,0.0005579224994927977,0.0004227436060029592
6274,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,talisa,You have every right. You're a king.,House Stark, you have every right you are a king,8,"['you', 'have', 'every', 'right', 'you', 'are', 'a', 'king']","['every', 'right', 'king']","['every', 'right', 'king']", every right king,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0018143215595444896,0.0022602201257861635,0.0008115236356258876,0.0016909744240118367
5835,5/13/2012,Season 2,Episode 7,A Man Without Honor,alton,And have you thought about,House Lannister, and have you thought about,5,"['and', 'have', 'you', 'thought', 'about']",['thought'],['thought'], thought,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5702,5/13/2012,Season 2,Episode 7,A Man Without Honor,talisa,"I've already run through the supplies I brought with me. Some are easily replaced. Egg yolks, turpentine, oil of roses.",House Stark, i have already run through the supplies i brought with me some are easily replaced egg yolks turpentine oil of roses,21,"['i', 'have', 'already', 'run', 'through', 'the', 'supplies', 'i', 'brought', 'with', 'me', 'some', 'are', 'easily', 'replaced', 'egg', 'yolks', 'turpentine', 'oil', 'of', 'roses']","['already', 'run', 'supplies', 'brought', 'easily', 'replaced', 'egg', 'yolks', 'turpentine', 'oil', 'roses']","['already', 'run', 'supply', 'brought', 'easily', 'replaced', 'egg', 'yolk', 'turpentine', 'oil', 'rose']", already run supply brought easily replaced egg yolk turpentine oil rose,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",0.34,0.0,0.0,0.0,0.0
4455,4/22/2012,Season 2,Episode 4,Garden of Bones,daenerys targaryen,Qarth?,House Targaryen, qarth,1,['qarth'],['qarth'],['qarth'], qarth,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6550,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,What are you doing? We need to attack them.,House Lannister, what are you doing we need to attack them,9,"['what', 'are', 'you', 'doing', 'we', 'need', 'to', 'attack', 'them']","['need', 'attack']","['need', 'attack']", need attack,"{'neg': 0.756, 'neu': 0.244, 'pos': 0.0, 'compound': -0.4767}",-0.4767,0.0,0.0,0.0006086427267194157,0.0019023462270133164
4220,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,cersei lannister,"You won't get away with this. You think the piece of paper Father gave you keeps you safe. Ned Stark had a piece of paper, too.",House Lannister, you will not get away with this you think the piece of paper father gave you keeps you safe ned stark had a piece of paper too,27,"['you', 'will', 'not', 'get', 'away', 'with', 'this', 'you', 'think', 'the', 'piece', 'of', 'paper', 'father', 'gave', 'you', 'keeps', 'you', 'safe', 'ned', 'stark', 'had', 'a', 'piece', 'of', 'paper', 'too']","['get', 'away', 'think', 'piece', 'paper', 'father', 'gave', 'keeps', 'safe', 'ned', 'stark', 'piece', 'paper']","['get', 'away', 'think', 'piece', 'paper', 'father', 'gave', 'keep', 'safe', 'ned', 'stark', 'piece', 'paper']", get away think piece paper father gave keep safe ned stark piece paper,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}",0.4404,0.0009353703621219545,0.0008768746976294146,0.0004915960485041435,0.000878005950929223
4806,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,tyrion lannister,The king is a lost cause. It's the rest of us I'm worried about now.,House Lannister, the king is a lost cause it is the rest of us i am worried about now,17,"['the', 'king', 'is', 'a', 'lost', 'cause', 'it', 'is', 'the', 'rest', 'of', 'us', 'i', 'am', 'worried', 'about', 'now']","['king', 'lost', 'cause', 'rest', 'us', 'worried']","['king', 'lost', 'cause', 'rest', 'u', 'worried']", king lost cause rest u worried,"{'neg': 0.6, 'neu': 0.4, 'pos': 0.0, 'compound': -0.5423}",-0.5423,0.0007913530206523837,0.0008189203354297694,0.0004057618178129438,0.0004227436060029592
4891,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,jon snow,So it is possible for someone to survive out here on their own.,House Stark, so it is possible for someone to survive out here on their own,13,"['so', 'it', 'is', 'possible', 'for', 'someone', 'to', 'survive', 'out', 'here', 'on', 'their', 'own']","['possible', 'someone', 'survive']","['possible', 'someone', 'survive']", possible someone survive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
5787,5/13/2012,Season 2,Episode 7,A Man Without Honor,cersei lannister,Wait until you birth a child.,House Lannister, wait until you birth a child,6,"['wait', 'until', 'you', 'birth', 'a', 'child']","['wait', 'birth', 'child']","['wait', 'birth', 'child']", wait birth child,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0004227436060029592
6853,6/3/2012,Season 2,Episode 10,Valar Morghulis,jaime lannister,Those were Stark men.,House Lannister, those were stark men,4,"['those', 'were', 'stark', 'men']","['stark', 'men']","['stark', 'men']", stark men,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00335842501447597,0.0016705974842767296,0.002282410225197809,0.0025364616360177552
4376,4/22/2012,Season 2,Episode 4,Garden of Bones,robb stark,You never told me where you're from.,House Stark, you never told me where you are from,8,"['you', 'never', 'told', 'me', 'where', 'you', 'are', 'from']","['never', 'told']","['never', 'told']", never told,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013317892298784018,0.0016705974842767296,0.0015216068167985392,0.0009511731135066582
4736,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,cersei lannister,No need to concern yourself over it. The king is taking personal charge of siege preparations.,House Lannister, no need to concern yourself over it the king is taking personal charge of siege preparations,16,"['no', 'need', 'to', 'concern', 'yourself', 'over', 'it', 'the', 'king', 'is', 'taking', 'personal', 'charge', 'of', 'siege', 'preparations']","['need', 'concern', 'king', 'taking', 'personal', 'charge', 'siege', 'preparations']","['need', 'concern', 'king', 'taking', 'personal', 'charge', 'siege', 'preparation']", need concern king taking personal charge siege preparation,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.00047770700636942675,0.000614190251572327,0.0004564820450395618,0.0007926442612555486
6109,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,jon snow,What?,House Stark, what,1,['what'],[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
3984,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,jon snow,Lord Commander-,House Stark, lord commander,2,"['lord', 'commander']","['lord', 'commander']","['lord', 'commander']", lord commander,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0023161551823972205,0.0026041666666666665,0.0007608034083992696,0.0
4696,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,catelyn stark,You can't avenge him if you're dead.,House Stark, you cannot avenge him if you are dead,8,"['you', 'cannot', 'avenge', 'him', 'if', 'you', 'are', 'dead']","['cannot', 'avenge', 'dead']","['cannot', 'avenge', 'dead']", cannot avenge dead,"{'neg': 0.0, 'neu': 0.368, 'pos': 0.632, 'compound': 0.5334}",0.5334,0.0002702181046130091,0.001310272536687631,0.0007100831811726517,0.0012682308180088776
4465,4/22/2012,Season 2,Episode 4,Garden of Bones,arya stark,Dragonfire.,House Stark, dragonfire,1,['dragonfire'],['dragonfire'],['dragonfire'], dragonfire,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4012,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,bran stark,So she was lying? They don't exist?,House Stark, so she was lying they do not exist,8,"['so', 'she', 'was', 'lying', 'they', 'do', 'not', 'exist']","['lying', 'exist']","['lying', 'exist']", lying exist,"{'neg': 0.773, 'neu': 0.227, 'pos': 0.0, 'compound': -0.5267}",-0.5267,0.0,0.0,0.0,0.0
6892,6/3/2012,Season 2,Episode 10,Valar Morghulis,luwin,They don't want you to sleep. They want to sap your spirit before,House Stark, they do not want you to sleep they want to sap your spirit before,14,"['they', 'do', 'not', 'want', 'you', 'to', 'sleep', 'they', 'want', 'to', 'sap', 'your', 'spirit', 'before']","['want', 'sleep', 'want', 'sap', 'spirit']","['want', 'sleep', 'want', 'sap', 'spirit']", want sleep want sap spirit,"{'neg': 0.0, 'neu': 0.317, 'pos': 0.683, 'compound': 0.3182}",0.3182,0.0008338158656629993,0.0018081761006289308,0.0021911138161898967,0.0015218769816106531
6982,6/3/2012,Season 2,Episode 10,Valar Morghulis,arya stark,What are you doing here?,House Stark, what are you doing here,5,"['what', 'are', 'you', 'doing', 'here']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6601,5/27/2012,Season 2,Episode 9,Blackwater,tyrion lannister,"Hound, form a welcome party for any Baratheon troop that manages to touch solid ground. Pod, run to the King's Gate. Bring any men guarding it here, now.",House Lannister, hound form a welcome party for any baratheon troop that manages to touch solid ground pod run to the kings gate bring any men guarding it here now,28,"['hound', 'form', 'a', 'welcome', 'party', 'for', 'any', 'baratheon', 'troop', 'that', 'manages', 'to', 'touch', 'solid', 'ground', 'pod', 'run', 'to', 'the', 'kings', 'gate', 'bring', 'any', 'men', 'guarding', 'it', 'here', 'now']","['hound', 'form', 'welcome', 'party', 'baratheon', 'troop', 'manages', 'touch', 'solid', 'ground', 'pod', 'run', 'kings', 'gate', 'bring', 'men', 'guarding']","['hound', 'form', 'welcome', 'party', 'baratheon', 'troop', 'manages', 'touch', 'solid', 'ground', 'pod', 'run', 'king', 'gate', 'bring', 'men', 'guarding']", hound form welcome party baratheon troop manages touch solid ground pod run king gate bring men guarding,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.743}",0.743,0.0003678599407336762,0.0004624491305956345,0.000483333930041889,0.0004849117833563355
3650,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,I have every confidence the brave men of the Night's Watch will protect us all.,House Lannister, i have every confidence the brave men of the nights watch will protect us all,15,"['i', 'have', 'every', 'confidence', 'the', 'brave', 'men', 'of', 'the', 'nights', 'watch', 'will', 'protect', 'us', 'all']","['every', 'confidence', 'brave', 'men', 'nights', 'watch', 'protect', 'us']","['every', 'confidence', 'brave', 'men', 'night', 'watch', 'protect', 'u']", every confidence brave men night watch protect u,"{'neg': 0.0, 'neu': 0.301, 'pos': 0.699, 'compound': 0.8519}",0.8519,0.00046323103647944407,0.0002456761006289308,0.0008749239196591601,0.0009511731135066582
5928,5/13/2012,Season 2,Episode 7,A Man Without Honor,tyrion lannister,The boy is more Robert than Jaime.,House Lannister, the boy is more robert than jaime,7,"['the', 'boy', 'is', 'more', 'robert', 'than', 'jaime']","['boy', 'robert', 'jaime']","['boy', 'robert', 'jaime']", boy robert jaime,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0016213086276780544,0.001310272536687631,0.0,0.0010568590150073982
5078,4/29/2012,Season 2,Episode 5,The Ghost of Harrenhal,daenerys targaryen,The usurper is dead.,House Targaryen, the usurper is dead,4,"['the', 'usurper', 'is', 'dead']","['usurper', 'dead']","['usurper', 'dead']", usurper dead,"{'neg': 0.811, 'neu': 0.189, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0,0.0007861635220125787,0.0,0.0009511731135066582
5705,5/13/2012,Season 2,Episode 7,A Man Without Honor,talisa,"I need fennel root for those with fever, willow bark. Mostly I need milk of the poppy. You saw what it was like to amputate a foot without any. I assume there will be more loss of limb before this war is over.",House Stark, i need fennel root for those with fever willow bark mostly i need milk of the poppy you saw what it was like to amputate a foot without any i assume there will be more loss of limb before this war is over,43,"['i', 'need', 'fennel', 'root', 'for', 'those', 'with', 'fever', 'willow', 'bark', 'mostly', 'i', 'need', 'milk', 'of', 'the', 'poppy', 'you', 'saw', 'what', 'it', 'was', 'like', 'to', 'amputate', 'a', 'foot', 'without', 'any', 'i', 'assume', 'there', 'will', 'be', 'more', 'loss', 'of', 'limb', 'before', 'this', 'war', 'is', 'over']","['need', 'fennel', 'root', 'fever', 'willow', 'bark', 'mostly', 'need', 'milk', 'poppy', 'saw', 'like', 'amputate', 'foot', 'without', 'assume', 'loss', 'limb', 'war']","['need', 'fennel', 'root', 'fever', 'willow', 'bark', 'mostly', 'need', 'milk', 'poppy', 'saw', 'like', 'amputate', 'foot', 'without', 'assume', 'loss', 'limb', 'war']", need fennel root fever willow bark mostly need milk poppy saw like amputate foot without assume loss limb war,"{'neg': 0.16, 'neu': 0.657, 'pos': 0.183, 'compound': -0.1124}",-0.1124,0.00024380580867339164,0.00014481959616021185,0.00032033827722074515,0.0004672429329506391
3699,4/8/2012,Season 2,Episode 2,The Night Lands,daenerys targaryen,They will like it far less when I'm done with them.,House Targaryen, they will like it far less when i am done with them,12,"['they', 'will', 'like', 'it', 'far', 'less', 'when', 'i', 'am', 'done', 'with', 'them']","['like', 'far', 'less', 'done']","['like', 'far', 'le', 'done']", like far le done,"{'neg': 0.0, 'neu': 0.545, 'pos': 0.455, 'compound': 0.3612}",0.3612,0.0008396062536189925,0.0009335691823899371,0.0009129640900791236,0.0003170577045022194
4148,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,grand maester pycelle,"I've encountered this problem before, my lord. The stresses of power often have this insalubrious effect. Two drops with water, daily.",House Lannister, i have encountered this problem before my lord the stresses of power often have this insalubrious effect two drops with water daily,22,"['i', 'have', 'encountered', 'this', 'problem', 'before', 'my', 'lord', 'the', 'stresses', 'of', 'power', 'often', 'have', 'this', 'insalubrious', 'effect', 'two', 'drops', 'with', 'water', 'daily']","['encountered', 'problem', 'lord', 'stresses', 'power', 'often', 'insalubrious', 'effect', 'two', 'drops', 'water', 'daily']","['encountered', 'problem', 'lord', 'stress', 'power', 'often', 'insalubrious', 'effect', 'two', 'drop', 'water', 'daily']", encountered problem lord stress power often insalubrious effect two drop water daily,"{'neg': 0.458, 'neu': 0.542, 'pos': 0.0, 'compound': -0.765}",-0.765,0.0003860258637328701,0.00043402777777777775,0.00012680056806654494,0.0001056859015007398
3417,4/1/2012,Season 2,Episode 1,The North Remembers,robb stark,I'm sending one of your cousins down to King's Landing with my peace terms.,House Stark, i am sending one of your cousins down to kings landing with my peace terms,15,"['i', 'am', 'sending', 'one', 'of', 'your', 'cousins', 'down', 'to', 'kings', 'landing', 'with', 'my', 'peace', 'terms']","['sending', 'one', 'cousins', 'kings', 'landing', 'peace', 'terms']","['sending', 'one', 'cousin', 'king', 'landing', 'peace', 'term']", sending one cousin king landing peace term,"{'neg': 0.0, 'neu': 0.632, 'pos': 0.368, 'compound': 0.5423}",0.5423,0.0009430060385474398,0.0013196316262353998,0.0009564385705590819,0.0006341154090044388
4156,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,"I'm trusting the council with these plans, but the Queen mustn't know. We can't have her meddling in affairs that could determine the future of the realm. There's too much at stake.",House Lannister, i am trusting the council with these plans but the queen must not know we cannot have her meddling in affairs that could determine the future of the realm there is too much at stake,35,"['i', 'am', 'trusting', 'the', 'council', 'with', 'these', 'plans', 'but', 'the', 'queen', 'must', 'not', 'know', 'we', 'cannot', 'have', 'her', 'meddling', 'in', 'affairs', 'that', 'could', 'determine', 'the', 'future', 'of', 'the', 'realm', 'there', 'is', 'too', 'much', 'at', 'stake']","['trusting', 'council', 'plans', 'queen', 'must', 'know', 'cannot', 'meddling', 'affairs', 'could', 'determine', 'future', 'realm', 'much', 'stake']","['trusting', 'council', 'plan', 'queen', 'must', 'know', 'cannot', 'meddling', 'affair', 'could', 'determine', 'future', 'realm', 'much', 'stake']", trusting council plan queen must know cannot meddling affair could determine future realm much stake,"{'neg': 0.0, 'neu': 0.838, 'pos': 0.162, 'compound': 0.4019}",0.4019,0.00048639258830341633,0.0007140985324947588,0.0007709474538445932,0.0004227436060029592
5448,5/6/2012,Season 2,Episode 6,The Old Gods and the New,catelyn stark,Lady Talisa.,House Stark, lady talisa,2,"['lady', 'talisa']","['lady', 'talisa']","['lady', 'talisa']", lady talisa,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0013317892298784018,0.0007370283018867925,0.0,0.0
3944,4/8/2012,Season 2,Episode 2,The Night Lands,cersei lannister,"I don't care what you think! You've never taken it seriously. You haven't, Jaime hasn't. . It's all fallen on me.",House Lannister, i do not care what you think you have never taken it seriously you havent jaime hasnt  it is all fallen on me,23,"['i', 'do', 'not', 'care', 'what', 'you', 'think', 'you', 'have', 'never', 'taken', 'it', 'seriously', 'you', 'havent', 'jaime', 'hasnt', 'it', 'is', 'all', 'fallen', 'on', 'me']","['care', 'think', 'never', 'taken', 'seriously', 'havent', 'jaime', 'hasnt', 'fallen']","['care', 'think', 'never', 'taken', 'seriously', 'havent', 'jaime', 'hasnt', 'fallen']", care think never taken seriously havent jaime hasnt fallen,"{'neg': 0.145, 'neu': 0.478, 'pos': 0.376, 'compound': 0.4398}",0.4398,0.0005404362092260181,0.00038216282320055906,0.0005410157570839251,0.0007045726766715986
3323,4/1/2012,Season 2,Episode 1,The North Remembers,jon snow,He marries his daughters. What does he do with his sons?,House Stark, he marries his daughters what does he do with his sons,11,"['he', 'marries', 'his', 'daughters', 'what', 'does', 'he', 'do', 'with', 'his', 'sons']","['marries', 'daughters', 'sons']","['marries', 'daughter', 'son']", marries daughter son,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005018336228527311,0.00045859538784067083,0.0009129640900791236,0.0004227436060029592
5626,5/13/2012,Season 2,Episode 7,A Man Without Honor,arya stark,Have you ever lost before?,House Stark, have you ever lost before,5,"['have', 'you', 'ever', 'lost', 'before']","['ever', 'lost']","['ever', 'lost']", ever lost,"{'neg': 0.697, 'neu': 0.303, 'pos': 0.0, 'compound': -0.3182}",-0.3182,0.0004632310364794441,0.0004913522012578616,0.0009129640900791236,0.0
6028,5/20/2012,Season 2,Episode 8,The Prince of Winterfell,robb stark,"He once told me that being a lord is like being a father, except you have thousands of children and you worry about all of them. The farmers plowing the fields are yours to protect. The charwomen scrubbing the floors, yours to protect. The soldiers you order into battle. He told me he woke with fear in the morning and went to bed with fear in the night. I didn't believe him. I asked him, ""How can a man be brave if he's afraid?"" ""That is the only time a man can be brave,"" he told me.",House Stark, he once told me that being a lord is like being a father except you have thousands of children and you worry about all of them the farmers plowing the fields are yours to protect the charwomen scrubbing the floors yours to protect the soldiers you order into battle he told me he woke with fear in the morning and went to bed with fear in the night i did not believe him i asked him how can a man be brave if he is afraid that is the only time a man can be brave he told me,99,"['he', 'once', 'told', 'me', 'that', 'being', 'a', 'lord', 'is', 'like', 'being', 'a', 'father', 'except', 'you', 'have', 'thousands', 'of', 'children', 'and', 'you', 'worry', 'about', 'all', 'of', 'them', 'the', 'farmers', 'plowing', 'the', 'fields', 'are', 'yours', 'to', 'protect', 'the', 'charwomen', 'scrubbing', 'the', 'floors', 'yours', 'to', 'protect', 'the', 'soldiers', 'you', 'order', 'into', 'battle', 'he', 'told', 'me', 'he', 'woke', 'with', 'fear', 'in', 'the', 'morning', 'and', 'went', 'to', 'bed', 'with', 'fear', 'in', 'the', 'night', 'i', 'did', 'not', 'believe', 'him', 'i', 'asked', 'him', 'how', 'can', 'a', 'man', 'be', 'brave', 'if', 'he', 'is', 'afraid', 'that', 'is', 'the', 'only', 'time', 'a', 'man', 'can', 'be', 'brave', 'he', 'told', 'me']","['told', 'lord', 'like', 'father', 'except', 'thousands', 'children', 'worry', 'farmers', 'plowing', 'fields', 'protect', 'charwomen', 'scrubbing', 'floors', 'protect', 'soldiers', 'order', 'battle', 'told', 'woke', 'fear', 'morning', 'went', 'bed', 'fear', 'night', 'believe', 'asked', 'man', 'brave', 'afraid', 'time', 'man', 'brave', 'told']","['told', 'lord', 'like', 'father', 'except', 'thousand', 'child', 'worry', 'farmer', 'plowing', 'field', 'protect', 'charwoman', 'scrubbing', 'floor', 'protect', 'soldier', 'order', 'battle', 'told', 'woke', 'fear', 'morning', 'went', 'bed', 'fear', 'night', 'believe', 'asked', 'man', 'brave', 'afraid', 'time', 'man', 'brave', 'told']", told lord like father except thousand child worry farmer plowing field protect charwoman scrubbing floor protect soldier order battle told woke fear morning went bed fear night believe asked man brave afraid time man brave told,"{'neg': 0.223, 'neu': 0.506, 'pos': 0.272, 'compound': 0.3818}",0.3818,0.0006465933217525574,0.0006360281271837876,0.0004818421586528707,0.0004932008736701191
5416,5/6/2012,Season 2,Episode 6,The Old Gods and the New,arya stark,To take to the armory.,House Stark, to take to the armory,5,"['to', 'take', 'to', 'the', 'armory']","['take', 'armory']","['take', 'armory']", take armory,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0005211349160393746,0.0006878930817610062,0.001978088861838101,0.0009511731135066582
5614,5/13/2012,Season 2,Episode 7,A Man Without Honor,tywin lannister,Mmm. Is that mutton?,House Lannister, mmm is that mutton,4,"['mmm', 'is', 'that', 'mutton']","['mmm', 'mutton']","['mmm', 'mutton']", mmm mutton,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
6543,5/27/2012,Season 2,Episode 9,Blackwater,joffrey lannister,There they are.,House Lannister, there they are,3,"['there', 'they', 'are']",[],[],,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0,0.0
4178,4/15/2012,Season 2,Episode 3,What Is Dead May Never Die,tyrion lannister,You served my family well in the matter of the succession.,House Lannister, you served my family well in the matter of the succession,11,"['you', 'served', 'my', 'family', 'well', 'in', 'the', 'matter', 'of', 'the', 'succession']","['served', 'family', 'well', 'matter', 'succession']","['served', 'family', 'well', 'matter', 'succession']", served family well matter succession,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.4588}",0.4588,0.00030110017371163866,0.00037342767295597487,0.00024345709068776628,0.0003804692454026633
3641,4/8/2012,Season 2,Episode 2,The Night Lands,tyrion lannister,Lord Commander asks that we send more men to man The Wall.,House Lannister, lord commander asks that we send more men to man the wall,12,"['lord', 'commander', 'asks', 'that', 'we', 'send', 'more', 'men', 'to', 'man', 'the', 'wall']","['lord', 'commander', 'asks', 'send', 'men', 'man', 'wall']","['lord', 'commander', 'asks', 'send', 'men', 'man', 'wall']", lord commander asks send men man wall,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0015882206965009513,0.0015302111410601977,0.0012607599339187897,0.001449406649153003
5788,5/13/2012,Season 2,Episode 7,A Man Without Honor,cersei lannister,You're a woman now. Do you have any idea what that means?,House Lannister, you are a woman now do you have any idea what that means,13,"['you', 'are', 'a', 'woman', 'now', 'do', 'you', 'have', 'any', 'idea', 'what', 'that', 'means']","['woman', 'idea', 'means']","['woman', 'idea', 'mean']", woman idea mean,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,0.0,0.0004057618178129438,0.0
6986,6/3/2012,Season 2,Episode 10,Valar Morghulis,arya stark,How did you kill those guards? Was it hard?,House Stark, how did you kill those guards was it hard,9,"['how', 'did', 'you', 'kill', 'those', 'guards', 'was', 'it', 'hard']","['kill', 'guards', 'hard']","['kill', 'guard', 'hard']", kill guard hard,"{'neg': 0.859, 'neu': 0.141, 'pos': 0.0, 'compound': -0.7269}",-0.7269,0.00042462845010615707,0.0005568658280922432,0.0010144045445323595,0.0006341154090044388
3191,4/1/2012,Season 2,Episode 1,The North Remembers,joffrey lannister,"Two cups? . That's not much at all. . Please, have another cup.",House Lannister, two cups  that is not much at all  please have another cup,12,"['two', 'cups', 'that', 'is', 'not', 'much', 'at', 'all', 'please', 'have', 'another', 'cup']","['two', 'cups', 'much', 'please', 'another', 'cup']","['two', 'cup', 'much', 'please', 'another', 'cup']", two cup much please another cup,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.3182}",0.3182,0.00023161551823972206,0.0002620545073375262,0.0002536011361330899,0.0004227436060029592
